odbor:(fakulta:VS)         (Intercept)
architektura:FAD:STU          -0.67166415
architektura:FU:TUKE          -1.22501552
bezpecnost:DREVF:TUZV          4.06578449
bezpecnost:FBI:ZU             -0.35447446
bezpecnost:MTF:STU             2.06412730
bezpecnost:PEDUKF:UKF          1.97535750
biologia:FBP:SPU              -1.04513365
biologia:FHPV:PU              -1.24502968
biologia:FPVUCM:UCM            0.37361092
biologia:FPVUKF:UKF           -2.63861436
biologia:PRIRUK:UK             0.42739750
biologia:PRIRUPJS:UPJS        -5.72646438
biotechnologie:FBP:SPU        -0.07567738
biotechnologie:FCHPT:STU       2.35809484
biotechnologie:FPVUCM:UCM     -1.00987272
biotechnologie:PRIRUK:UK      -0.22895629
doprava:FBERG:TUKE            -1.08684497
doprava:FEI:STU               -0.21956891
doprava:FPEDS:ZU               2.61062649
doprava:LETF:TUKE              0.58090740
drevarstvo:DREVF:TUZV         -1.17900518
ekologia:FEE:TUZV              1.38248051
ekologia:FESRR:SPU            -1.00058776
ekologia:FHPV:PU               2.15098466
ekologia:FMMR:TUKE             1.06728421
ekologia:FMPU:PU               2.85585579
ekologia:FPVUKF:UKF            1.93229005
ekologia:FPVUMB:UMB            2.15298481
ekologia:PRIRUK:UK            -0.33424233
ekologia:PRIRUPJS:UPJS         0.26367935
ekologia:RZU:ZU                0.67986056
ekologia:STFTUKE:TUKE          0.98605363
ekonomia:DREVF:TUZV           -0.15182667
ekonomia:EF:TUKE              -0.13206821
ekonomia:EFUMB:UMB             2.63523265
ekonomia:FEKIN:UJS             2.09364024
ekonomia:FEM:SPU              -0.45873076
ekonomia:FESRR:SPU             0.52532584
ekonomia:FHI:EU                1.18201560
ekonomia:FMPU:PU              -1.85853368
ekonomia:FMUK:UK              -0.78493861
ekonomia:FMV:EU               -3.64852371
ekonomia:FPEDS:ZU             -1.74409111
ekonomia:FPM:EU               -2.90146771
ekonomia:FRI:ZU                3.19785131
ekonomia:FSEV:UK              -2.19115271
ekonomia:FSEVZ:TUAD            1.48750550
ekonomia:FSS:UKF               1.65236560
ekonomia:NHF:EU               -1.89355344
ekonomia:OF:EU                -2.45007124
ekonomia:PEDKU:KU              1.04333759
ekonomia:PHF:EU               -1.01568529
ekonomia:RSTU:STU              0.62014339
ekonomia:RTUZV:TUZV            1.22052071
ekonomia:RUCM:UCM              2.37951280
elektrotechnika:FEI:STU       -1.57609805
elektrotechnika:FEIT:ZU       -1.14119562
elektrotechnika:FEITUKE:TUKE  -1.86227131
elektrotechnika:STRJTUKE:TUKE  0.52850004
farmacia:FAF:UK               -0.57337621
farmacia:RUVLF:UVLF           -0.52931188
filologia:FAJ:EU              -3.52166754
filologia:FEKIN:UJS           -0.03983235
filologia:FIFKU:KU             0.31920771
filologia:FIFPU:PU            -0.98605301
filologia:FIFTTU:TTU           1.84976105
filologia:FIFUCM:UCM          -2.36635483
filologia:FIFUK:UK             1.02392310
filologia:FIFUKF:UKF          -2.15035453
filologia:FIFUMB:UMB           1.29755209
filologia:FIFUPJS:UPJS        -0.80087382
filologia:FSS:UKF              0.50536095
filologia:PEDTTU:TTU           1.62820193
filologia:PEDUK:UK             0.49554842
filologia:PEDUKF:UKF           3.10153693
filozofia:FIFKU:KU             1.05247927
filozofia:FIFPU:PU             6.72797064
filozofia:FIFTTU:TTU           2.51011308
filozofia:FIFUCM:UCM           0.73269599
filozofia:FIFUK:UK            -1.88484243
filozofia:FIFUKF:UKF           3.57720920
filozofia:FIFUMB:UMB          -1.16225257
filozofia:FIFUPJS:UPJS        -1.30826220
filozofia:TFTTU:TTU            0.92090269
fyzika:FMFI:UK                 2.09204303
fyzika:FPVUKF:UKF              0.71960548
fyzika:PRIRUPJS:UPJS           2.23445889
geodezia:FBERG:TUKE            0.43720283
geodezia:STFSTU:STU            0.36925784
geodezia:STFZU:ZU              0.27655751
historia:FIFKU:KU             -1.56154200
historia:FIFPU:PU             -4.08939624
historia:FIFTTU:TTU            0.44680583
historia:FIFUCM:UCM            0.17609175
historia:FIFUK:UK              3.05854177
historia:FIFUKF:UKF            4.29447603
historia:FIFUMB:UMB            1.14206794
historia:FIFUPJS:UPJS          2.52742669
historia:GKTF:PU               1.70080768
chemia:FCHPT:STU               0.54621935
chemia:FPVUCM:UCM             -0.62255582
chemia:FPVUMB:UMB             -3.40229204
chemia:PRIRUK:UK               4.05919714
chemia:PRIRUPJS:UPJS           0.01164107
chemtechnologie:FCHPT:STU      1.04174562
informatika:FEI:STU           -2.19203662
informatika:FEIT:ZU           -0.79253474
informatika:FEITUKE:TUKE      -1.08567481
informatika:FEKIN:UJS         -2.39515446
informatika:FHI:EU            -6.80654537
informatika:FIIT:STU          -0.57119952
informatika:FMFI:UK           -0.45178458
informatika:FPVUCM:UCM         3.46206056
informatika:FPVUKF:UKF        -0.17735805
informatika:FPVUMB:UMB         0.84882893
informatika:FRI:ZU            -1.13552357
informatika:PRIRUPJS:UPJS      3.00925726
kybernetika:FBERG:TUKE         1.36945473
kybernetika:FEI:STU            0.38797333
kybernetika:FEIT:ZU            1.58499971
kybernetika:FCHPT:STU         -1.22393747
kybernetika:MTF:STU           -2.47802279
kybernetika:STRJSTU:STU        1.04127572
lekarstvo:JLF:UK               1.15261340
lekarstvo:LFUK:UK             -3.37184259
lekarstvo:LFUPJS:UPJS          1.45009950
lekarstvozubne:LFUK:UK        -0.31088748
lekarstvozubne:LFUPJS:UPJS    -5.41938460
lesnictvo:LESF:TUZV            0.14871620
logopedia:PEDKU:KU             0.76229262
logopedia:PEDUK:UK             1.64090850
