odbor:(fakulta:VS)         (Intercept)
matematika:FHVZU:ZU           -1.03467514
matematika:FMFI:UK            -0.34263626
matematika:FPVUKF:UKF          0.78708242
matematika:FPVUMB:UMB          1.61560909
matematika:PRIRUPJS:UPJS       1.94509991
matematika:STFSTU:STU          2.53718049
media:FHVZU:ZU                 2.35979508
media:FIFKU:KU                -2.89390559
media:FIFPU:PU                 0.64426844
media:FIFUK:UK                -3.37431206
media:FIFUKF:UKF              -5.48508970
media:FIFUPJS:UPJS            -3.41381642
media:FMK:UCM                 -1.13487254
media:FSEV:UK                 -0.02066157
osetrovatelstvo:FSVZ:UKF       1.85007871
osetrovatelstvo:FZ:KU         -1.77776892
osetrovatelstvo:FZO:PU        -1.02056437
osetrovatelstvo:FZSP:TTU      -0.22197646
osetrovatelstvo:FZTUAD:TUAD    0.68247508
osetrovatelstvo:JLF:UK         0.98931268
osetrovatelstvo:LFUPJS:UPJS    0.76060956
politologia:FIFPU:PU           0.49562193
politologia:FIFTTU:TTU         0.39740920
politologia:FIFUK:UK           3.57107867
politologia:FIFUKF:UKF        -1.20903924
politologia:FIFUPJS:UPJS       3.79507024
politologia:FPVMV:UMB         -0.70226854
politologia:FSEV:UK            1.59998483
politologia:FSVUCM:UCM        -1.87782966
politologia:FVS:UPJS           1.46313561
politologia:RTUAD:TUAD         2.35101716
polnohospodarstvo:FAPZ:SPU     0.28856344
polnohospodarstvo:FZKI:SPU     0.89296190
polnohospodarstvo:STFSTU:STU  -1.58706944
porodnictvo:FZO:PU            -3.54732669
porodnictvo:JLF:UK            -0.63508666
potravinarstvo:FBP:SPU         1.19111765
potravinarstvo:FCHPT:STU      -1.82403708
pravo:PRATTU:TTU               3.67641941
pravo:PRAUK:UK                -0.24663825
pravo:PRAUMB:UMB               0.54702381
pravo:PRAUPJS:UPJS            -0.23689205
priestor:RSTU:STU             -1.38732497
psychologia:FIFKU:KU           3.85341379
psychologia:FIFPU:PU           4.73027728
psychologia:FIFTTU:TTU        -2.36954907
psychologia:FIFUCM:UCM        -3.29386281
psychologia:FIFUK:UK          -5.54649994
psychologia:FIFUPJS:UPJS       1.77476041
psychologia:FSEV:UK            4.26663699
psychologia:FSVZ:UKF          -1.60480531
psychologia:PEDUK:UK           1.14175198
psychologia:PEDUMB:UMB         0.62023544
socialnapraca:FIFPU:PU         1.55286177
socialnapraca:FIFUPJS:UPJS     3.51353456
socialnapraca:FSVUCM:UCM       0.77728961
socialnapraca:FSVZ:UKF         0.40889713
socialnapraca:FZSP:TTU         3.39676671
socialnapraca:PBF:PU           1.99803454
socialnapraca:PEDKU:KU         2.99120155
socialnapraca:PEDUK:UK         0.83649256
socialnapraca:PEDUMB:UMB       0.01841645
socialnapraca:TFKU:KU          1.84938048
socialnapraca:TFTTU:TTU        1.32993496
socioantropologia:FIFTTU:TTU   0.11646392
socioantropologia:FIFUK:UK     1.87333967
socioantropologia:FIFUKF:UKF   1.15586664
socioantropologia:FSEV:UK     -0.87723139
sport:FSPORT:PU               -0.29048553
sport:FTVS:UK                 -2.25774736
sport:PEDUKF:UKF              -0.57506470
sport:RUPJS:UPJS               0.99666507
stavebnictvo:STFSTU:STU       -2.17519135
stavebnictvo:STFTUKE:TUKE     -1.23396613
stavebnictvo:STFZU:ZU         -0.34588773
strojarstvo:FEI:STU            2.58487292
strojarstvo:FMMR:TUKE         -2.19131123
strojarstvo:FPT:TUAD           1.14895940
strojarstvo:FST:TUAD           2.48823450
strojarstvo:FTECH:TUZV         0.46547690
strojarstvo:FVT:TUKE           0.27660834
strojarstvo:MTF:STU            1.16884112
strojarstvo:STRJSTU:STU       -2.57759482
strojarstvo:STRJTUKE:TUKE      0.28654321
strojarstvo:STRJZU:ZU          0.17300939
strojarstvo:TFSPU:SPU         -0.30064699
teologia:EBF:UK                0.77741607
teologia:GKTF:PU               1.98119059
teologia:PBF:PU                1.45261265
teologia:PEDUMB:UMB            1.11084987
teologia:RKF:UK               -0.01432840
teologia:RTF:UJS               3.66217761
teologia:TFKU:KU               0.63175720
teologia:TFTTU:TTU             0.19013086
ucitelstvo:EBF:UK             -0.59253589
ucitelstvo:FHPV:PU            -4.38110561
ucitelstvo:FHVZU:ZU           -2.26389566
ucitelstvo:FIFKU:KU            2.12893344
ucitelstvo:FIFPU:PU           -7.40394375
ucitelstvo:FIFUCM:UCM          2.52524664
ucitelstvo:FIFUK:UK           -0.18495503
ucitelstvo:FIFUKF:UKF         -2.14606560
ucitelstvo:FIFUMB:UMB         -1.36496877
ucitelstvo:FIFUPJS:UPJS       -5.42501395
ucitelstvo:FMFI:UK             1.78200562
ucitelstvo:FPVUKF:UKF         -1.55581840
ucitelstvo:FPVUMB:UMB         -1.59153690
ucitelstvo:FSPORT:PU          -2.52883547
ucitelstvo:FSS:UKF            -1.95604636
ucitelstvo:FTVS:UK            -0.40271220
ucitelstvo:PEDKU:KU           -2.90509342
ucitelstvo:PEDPU:PU           -1.50467960
ucitelstvo:PEDTTU:TTU         -0.93318245
ucitelstvo:PEDUJS:UJS          1.87413084
ucitelstvo:PEDUK:UK           -6.16833415
ucitelstvo:PEDUKF:UKF         -2.05570722
ucitelstvo:PEDUMB:UMB          0.27306818
ucitelstvo:PRIRUK:UK          -9.11771798
ucitelstvo:PRIRUPJS:UPJS      -0.77188018
ucitelstvo:RPU:PU             -0.83879733
ucitelstvo:TFKU:KU             1.13712629
umenie:DIVF:VSMU              -2.72080184
umenie:DREVF:TUZV             -1.70262997
umenie:FAD:STU                -1.35158924
umenie:FDU:AU                  2.58849969
umenie:FMU:AU                  0.03777267
umenie:FTF:VSMU               -0.16615209
umenie:FU:TUKE                -1.70222836
umenie:FVU:AU                  1.48042452
umenie:HTF:VSMU               -2.14115806
umenie:RVSVU:VSVU              0.20897880
umenoveda:DIVF:VSMU           -0.72132358
umenoveda:FIFTTU:TTU          -2.04551795
umenoveda:FIFUK:UK             0.98971068
umenoveda:FIFUKF:UKF          -1.93347728
umenoveda:FTF:VSMU            -0.58792258
umenoveda:HTF:VSMU            -0.28972097
umenoveda:PEDUKF:UKF          -3.19136726
umenoveda:RVSVU:VSVU          -1.37881021
vedyzem:FHPV:PU                2.38732095
vedyzem:FPVUKF:UKF             0.48057321
vedyzem:FPVUMB:UMB             1.10243811
vedyzem:PRIRUK:UK             -0.69053418
vedyzem:PRIRUPJS:UPJS          1.48438559
verejzdrav:FZSP:TTU            1.22641104
verejzdrav:FZTUAD:TUAD         1.56410509
verejzdrav:JLF:UK             -0.34161199
verejzdrav:LFUPJS:UPJS        -2.13114722
veterina:RUVLF:UVLF           -2.04121245
zdravotmictvo:FAF:UK          -1.26437928
zdravotmictvo:FSVZ:UKF         2.63450518
zdravotmictvo:FZ:KU           -1.89326956
zdravotmictvo:FZO:PU           1.29921240
zdravotmictvo:FZSP:TTU        -5.27207451
zdravotmictvo:FZTUAD:TUAD     -3.20167875
zdravotmictvo:FZVUCM:UCM      -3.68333630
zdravotmictvo:LFUPJS:UPJS      0.75284318
zemzdroje:FBERG:TUKE          -1.08081913
zemzdroje:FMMR:TUKE            3.62866074
