odbor:(fakulta:VS)        (Intercept)
psychologia:FIFUPJS:UPJS                0
psychologia:FSEV:UK                     0
psychologia:FSVZ:UKF                    0
psychologia:PEDUK:UK                    0
psychologia:PEDUMB:UMB                  0
socialnapraca:FIFPU:PU                  0
socialnapraca:FIFUPJS:UPJS              0
socialnapraca:FSVUCM:UCM                0
socialnapraca:FSVZ:UKF                  0
socialnapraca:FZSP:TTU                  0
socialnapraca:PBF:PU                    0
socialnapraca:PEDKU:KU                  0
socialnapraca:PEDUK:UK                  0
socialnapraca:PEDUMB:UMB                0
socialnapraca:TFKU:KU                   0
socialnapraca:TFTTU:TTU                 0
socioantropologia:FIFTTU:TTU            0
socioantropologia:FIFUK:UK              0
socioantropologia:FIFUKF:UKF            0
socioantropologia:FSEV:UK               0
sport:FSPORT:PU                         0
sport:FTVS:UK                           0
sport:PEDUKF:UKF                        0
sport:RUPJS:UPJS                        0
stavebnictvo:STFSTU:STU                 0
stavebnictvo:STFTUKE:TUKE               0
stavebnictvo:STFZU:ZU                   0
strojarstvo:FEI:STU                     0
strojarstvo:FMMR:TUKE                   0
strojarstvo:FPT:TUAD                    0
strojarstvo:FST:TUAD                    0
strojarstvo:FTECH:TUZV                  0
strojarstvo:FVT:TUKE                    0
strojarstvo:MTF:STU                     0
strojarstvo:STRJSTU:STU                 0
strojarstvo:STRJTUKE:TUKE               0
strojarstvo:STRJZU:ZU                   0
strojarstvo:TFSPU:SPU                   0
teologia:EBF:UK                         0
teologia:GKTF:PU                        0
teologia:PBF:PU                         0
teologia:PEDUMB:UMB                     0
teologia:RKF:UK                         0
teologia:RTF:UJS                        0
teologia:TFKU:KU                        0
teologia:TFTTU:TTU                      0
ucitelstvo:EBF:UK                       0
ucitelstvo:FHPV:PU                      0
ucitelstvo:FHVZU:ZU                     0
ucitelstvo:FIFKU:KU                     0
ucitelstvo:FIFPU:PU                     0
ucitelstvo:FIFUCM:UCM                   0
ucitelstvo:FIFUK:UK                     0
ucitelstvo:FIFUKF:UKF                   0
ucitelstvo:FIFUMB:UMB                   0
ucitelstvo:FIFUPJS:UPJS                 0
ucitelstvo:FMFI:UK                      0
ucitelstvo:FPVUKF:UKF                   0
ucitelstvo:FPVUMB:UMB                   0
ucitelstvo:FSPORT:PU                    0
ucitelstvo:FSS:UKF                      0
ucitelstvo:FTVS:UK                      0
ucitelstvo:PEDKU:KU                     0
ucitelstvo:PEDPU:PU                     0
ucitelstvo:PEDTTU:TTU                   0
ucitelstvo:PEDUJS:UJS                   0
ucitelstvo:PEDUK:UK                     0
ucitelstvo:PEDUKF:UKF                   0
ucitelstvo:PEDUMB:UMB                   0
ucitelstvo:PRIRUK:UK                    0
ucitelstvo:PRIRUPJS:UPJS                0
ucitelstvo:RPU:PU                       0
ucitelstvo:TFKU:KU                      0
umenie:DIVF:VSMU                        0
umenie:DREVF:TUZV                       0
umenie:FAD:STU                          0
umenie:FDU:AU                           0
umenie:FMU:AU                           0
umenie:FTF:VSMU                         0
umenie:FU:TUKE                          0
umenie:FVU:AU                           0
umenie:HTF:VSMU                         0
umenie:RVSVU:VSVU                       0
umenoveda:DIVF:VSMU                     0
umenoveda:FIFTTU:TTU                    0
umenoveda:FIFUK:UK                      0
umenoveda:FIFUKF:UKF                    0
umenoveda:FTF:VSMU                      0
umenoveda:HTF:VSMU                      0
umenoveda:PEDUKF:UKF                    0
umenoveda:RVSVU:VSVU                    0
vedyzem:FHPV:PU                         0
vedyzem:FPVUKF:UKF                      0
vedyzem:FPVUMB:UMB                      0
vedyzem:PRIRUK:UK                       0
vedyzem:PRIRUPJS:UPJS                   0
verejzdrav:FZSP:TTU                     0
verejzdrav:FZTUAD:TUAD                  0
verejzdrav:JLF:UK                       0
verejzdrav:LFUPJS:UPJS                  0
veterina:RUVLF:UVLF                     0
zdravotmictvo:FAF:UK                    0
zdravotmictvo:FSVZ:UKF                  0
zdravotmictvo:FZ:KU                     0
zdravotmictvo:FZO:PU                    0
zdravotmictvo:FZSP:TTU                  0
zdravotmictvo:FZTUAD:TUAD               0
zdravotmictvo:FZVUCM:UCM                0
zdravotmictvo:LFUPJS:UPJS               0
zemzdroje:FBERG:TUKE                    0
zemzdroje:FMMR:TUKE                     0
