odbor:(fakulta:VS)         (Intercept)
osetrovatelstvo:JLF:UK         0.282166155
osetrovatelstvo:LFUPJS:UPJS   -0.252375682
politologia:FIFPU:PU          -0.001279957
politologia:FIFTTU:TTU         0.075110326
politologia:FIFUK:UK           0.185941158
politologia:FIFUKF:UKF        -0.303507619
politologia:FIFUPJS:UPJS       0.354717296
politologia:FPVMV:UMB          0.021751766
politologia:FSEV:UK            0.284796137
politologia:FSVUCM:UCM        -0.035835292
politologia:FVS:UPJS           0.215391562
politologia:RTUAD:TUAD         0.254862012
polnohospodarstvo:FAPZ:SPU     0.173943016
polnohospodarstvo:FZKI:SPU    -0.161582883
polnohospodarstvo:STFSTU:STU  -0.317835153
porodnictvo:FZO:PU            -0.341359371
porodnictvo:JLF:UK             0.058864271
potravinarstvo:FBP:SPU         0.037904706
potravinarstvo:FCHPT:STU      -0.076836608
pravo:PRATTU:TTU               0.982654152
pravo:PRAUK:UK                -0.080679929
pravo:PRAUMB:UMB               0.376718374
pravo:PRAUPJS:UPJS             0.313572595
priestor:RSTU:STU             -0.108791077
psychologia:FIFKU:KU           0.415674201
psychologia:FIFPU:PU           0.732208286
psychologia:FIFTTU:TTU         0.314553127
psychologia:FIFUCM:UCM        -0.222498511
psychologia:FIFUK:UK          -0.734485881
psychologia:FIFUPJS:UPJS       0.360721479
psychologia:FSEV:UK            0.646092864
psychologia:FSVZ:UKF           0.238375113
psychologia:PEDUK:UK           0.102254027
psychologia:PEDUMB:UMB         0.307954987
socialnapraca:FIFPU:PU         0.222430399
socialnapraca:FIFUPJS:UPJS     0.501161381
socialnapraca:FSVUCM:UCM      -0.179916514
socialnapraca:FSVZ:UKF         0.402319885
socialnapraca:FZSP:TTU         0.142909875
socialnapraca:PBF:PU           0.426168327
socialnapraca:PEDKU:KU         0.179149277
socialnapraca:PEDUK:UK         0.185964630
socialnapraca:PEDUMB:UMB       0.122008406
socialnapraca:TFKU:KU          0.359124156
socialnapraca:TFTTU:TTU        0.262836651
socioantropologia:FIFTTU:TTU  -0.070504653
socioantropologia:FIFUK:UK     0.321177208
socioantropologia:FIFUKF:UKF   0.142159860
socioantropologia:FSEV:UK      0.279433264
sport:FSPORT:PU               -0.162524449
sport:FTVS:UK                 -0.461330543
sport:PEDUKF:UKF              -0.131747875
sport:RUPJS:UPJS              -0.004405435
stavebnictvo:STFSTU:STU       -0.087865712
stavebnictvo:STFTUKE:TUKE      0.155127228
stavebnictvo:STFZU:ZU          0.089590226
strojarstvo:FEI:STU            0.170427885
strojarstvo:FMMR:TUKE         -0.155598380
strojarstvo:FPT:TUAD          -0.061604460
strojarstvo:FST:TUAD           0.746226092
strojarstvo:FTECH:TUZV         0.062865793
strojarstvo:FVT:TUKE           0.054170276
strojarstvo:MTF:STU            0.459151664
strojarstvo:STRJSTU:STU       -0.095179046
strojarstvo:STRJTUKE:TUKE      0.028200401
strojarstvo:STRJZU:ZU          0.313309974
strojarstvo:TFSPU:SPU         -0.243911092
teologia:EBF:UK                0.119297494
teologia:GKTF:PU               0.588559113
teologia:PBF:PU                0.208099701
teologia:PEDUMB:UMB           -0.025162743
teologia:RKF:UK                0.236938028
teologia:RTF:UJS               1.201312406
teologia:TFKU:KU               0.480608752
teologia:TFTTU:TTU             0.178778868
ucitelstvo:EBF:UK             -0.131345487
ucitelstvo:FHPV:PU            -0.969465579
ucitelstvo:FHVZU:ZU           -0.596313531
ucitelstvo:FIFKU:KU            0.023979350
ucitelstvo:FIFPU:PU           -0.959157654
ucitelstvo:FIFUCM:UCM         -0.091297695
ucitelstvo:FIFUK:UK           -0.346006479
ucitelstvo:FIFUKF:UKF         -0.808475841
ucitelstvo:FIFUMB:UMB         -0.305649691
ucitelstvo:FIFUPJS:UPJS       -1.585266451
ucitelstvo:FMFI:UK             0.020908814
ucitelstvo:FPVUKF:UKF         -0.169441045
ucitelstvo:FPVUMB:UMB         -0.302943820
ucitelstvo:FSPORT:PU          -0.658347101
ucitelstvo:FSS:UKF            -0.563816471
ucitelstvo:FTVS:UK            -0.099331444
ucitelstvo:PEDKU:KU           -0.134531830
