odbor:(fakulta:VS)            (Intercept)
media:FHVZU:ZU                -5.571140e-02
media:FIFKU:KU                -6.298552e-01
media:FIFPU:PU                 3.241614e-01
media:FIFUK:UK                -1.375497e+00
media:FIFUKF:UKF              -1.790544e+00
media:FIFUPJS:UPJS            -8.257547e-01
media:FMK:UCM                 -2.024417e-01
media:FSEV:UK                 -1.215057e-01
osetrovatelstvo:FSVZ:UKF       1.023189e+00
osetrovatelstvo:FZ:KU         -6.894481e-01
osetrovatelstvo:FZO:PU        -5.923321e-01
osetrovatelstvo:FZSP:TTU      -5.099337e-02
osetrovatelstvo:FZTUAD:TUAD    4.365102e-01
osetrovatelstvo:JLF:UK         2.287013e-01
osetrovatelstvo:LFUPJS:UPJS   -3.172716e-01
politologia:FIFPU:PU           4.229844e-01
politologia:FIFTTU:TTU        -8.238591e-02
politologia:FIFUK:UK           4.057341e-01
politologia:FIFUKF:UKF        -5.831748e-01
politologia:FIFUPJS:UPJS       7.666626e-01
politologia:FPVMV:UMB         -9.724811e-01
politologia:FSEV:UK            4.652769e-01
politologia:FSVUCM:UCM        -6.857642e-01
politologia:FVS:UPJS           3.112368e-01
politologia:RTUAD:TUAD         3.572942e-01
polnohospodarstvo:FAPZ:SPU     2.644343e-02
polnohospodarstvo:FZKI:SPU     4.627045e-01
polnohospodarstvo:STFSTU:STU  -4.304785e-01
porodnictvo:FZO:PU            -1.005069e+00
porodnictvo:JLF:UK            -1.966428e-01
potravinarstvo:FBP:SPU         3.659398e-01
potravinarstvo:FCHPT:STU      -1.912044e-01
pravo:PRATTU:TTU               2.011033e+00
pravo:PRAUK:UK                 4.085442e-01
pravo:PRAUMB:UMB               3.130489e-01
pravo:PRAUPJS:UPJS             1.818460e-01
priestor:RSTU:STU             -2.828255e-01
psychologia:FIFKU:KU           1.001514e+00
psychologia:FIFPU:PU           9.873684e-01
psychologia:FIFTTU:TTU        -8.259405e-01
psychologia:FIFUCM:UCM        -7.089770e-01
psychologia:FIFUK:UK          -1.475533e+00
psychologia:FIFUPJS:UPJS       2.193816e-01
psychologia:FSEV:UK            1.546639e+00
psychologia:FSVZ:UKF          -2.916184e-01
psychologia:PEDUK:UK           1.939787e-01
psychologia:PEDUMB:UMB         1.799370e-01
socialnapraca:FIFPU:PU         4.154617e-01
socialnapraca:FIFUPJS:UPJS     9.182918e-01
socialnapraca:FSVUCM:UCM       5.521266e-01
socialnapraca:FSVZ:UKF         4.803660e-01
socialnapraca:FZSP:TTU         9.838381e-01
socialnapraca:PBF:PU           1.264856e+00
